stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
AMB_201424,201424,Pl. Josep Tarradellas,Marquesina,41.5186568,2.1306695,,https://app.ambmobilitat.cat/stops/busamb:201424,0,,,0.0
AMB_201425,201425,Pl. Josep Tarradellas,Marquesina,41.5190068,2.1307237,,https://app.ambmobilitat.cat/stops/busamb:201425,0,,,0.0
AMB_201427,201427,Ctra. Barcelona - La Farigola,Marquesina,41.5002371,2.1398751,,https://app.ambmobilitat.cat/stops/busamb:201427,0,,,0.0
AMB_201452,201452,Ctra. Sabadell - Jeroni Martí,Pal,41.5084639,2.0906426,,https://app.ambmobilitat.cat/stops/busamb:201452,0,,,0.0
AMB_201480,201480,Camí Antic de Sant Cugat - Mestre Nicolau,Pal,41.5012243,2.0799693,,https://app.ambmobilitat.cat/stops/busamb:201480,0,,,0.0
AMB_201481,201481,Pl. Mare de Déu de Montserrat,Pal,41.5064341,2.0800045,,https://app.ambmobilitat.cat/stops/busamb:201481,0,,,0.0
AMB_201483,201483,Pin i Soler,Pal,41.5069567,2.087066,,https://app.ambmobilitat.cat/stops/busamb:201483,0,,,0.0
AMB_201488,201488,FGC Bellaterra,Pal,41.5006036,2.0910063,,https://app.ambmobilitat.cat/stops/busamb:201488,0,,,0.0
AMB_201489,201489,Vila Nord,Marquesina,41.50017,2.0969276,,https://app.ambmobilitat.cat/stops/busamb:201489,0,,,0.0
AMB_201490,201490,Vila Centre,Pal,41.5003391,2.0994111,,https://app.ambmobilitat.cat/stops/busamb:201490,0,,,0.0
AMB_201492,201492,CC. Educació - FTI,Marquesina,41.5055553,2.1055044,,https://app.ambmobilitat.cat/stops/busamb:201492,0,,,0.0
AMB_201508,201508,Vila Sud,Pal,41.5001499,2.1017329,,https://app.ambmobilitat.cat/stops/busamb:201508,0,,,0.0
AMB_201510,201510,Rectorat - Veterinària,Marquesina,41.5036059,2.0992156,,https://app.ambmobilitat.cat/stops/busamb:201510,0,,,0.0
AMB_201511,201511,Ciències - Biociències,Marquesina,41.5026784,2.1099698,,https://app.ambmobilitat.cat/stops/busamb:201511,0,,,0.0
AMB_201512,201512,Ciències - Biociències,Marquesina,41.5028497,2.1100233,,https://app.ambmobilitat.cat/stops/busamb:201512,0,,,0.0
AMB_201516,201516,Lletres i Psicologia,Marquesina,41.5039884,2.1082117,,https://app.ambmobilitat.cat/stops/busamb:201516,0,,,0.0
AMB_201517,201517,Rectorat - Veterinària,Marquesina,41.5036528,2.0995637,,https://app.ambmobilitat.cat/stops/busamb:201517,0,,,0.0
AMB_201518,201518,Escola Postgrau - FGC,Pal,41.5021853,2.1026858,,https://app.ambmobilitat.cat/stops/busamb:201518,0,,,0.0
AMB_201519,201519,Escola Postgrau - FGC,Marquesina,41.5020887,2.1027441,,https://app.ambmobilitat.cat/stops/busamb:201519,0,,,0.0
AMB_201520,201520,Av. Miquel Servet,Pal,41.5037019,2.0865523,,https://app.ambmobilitat.cat/stops/busamb:201520,0,,,0.0
AMB_201522,201522,Pl. Pi - FGC Bellaterra,Pal,41.501083,2.0902435,,https://app.ambmobilitat.cat/stops/busamb:201522,0,,,0.0
AMB_201524,201524,Ctra. Sabadell - Jeroni Martí,Pal,41.5084101,2.090776,,https://app.ambmobilitat.cat/stops/busamb:201524,0,,,0.0
AMB_201525,201525,Turó de Sant Pau,Pal,41.508431,2.0934119,,https://app.ambmobilitat.cat/stops/busamb:201525,0,,,0.0
AMB_201526,201526,Turó de Sant Pau,Pal,41.5085752,2.0934339,,https://app.ambmobilitat.cat/stops/busamb:201526,0,,,0.0
AMB_201527,201527,CC. Educació - FTI,Pal,41.5056623,2.1056245,,https://app.ambmobilitat.cat/stops/busamb:201527,0,,,0.0
AMB_201534,201534,FGC - Eix Central,Marquesina,41.503731,2.1031238,,https://app.ambmobilitat.cat/stops/busamb:201534,0,,,0.0
AMB_201535,201535,FGC - Eix Central,Pal,41.5038972,2.103175,,https://app.ambmobilitat.cat/stops/busamb:201535,0,,,0.0
AMB_201536,201536,Can Pallarès - Polígon Polizur,Pal,41.5000906,2.1356185,,https://app.ambmobilitat.cat/stops/busamb:201536,0,,,0.0
AMB_201537,201537,Can Pallarès - Polígon Polizur,Pal,41.5000024,2.1353807,,https://app.ambmobilitat.cat/stops/busamb:201537,0,,,0.0
AMB_201538,201538,Vila Sud,Marquesina,41.5003435,2.1011858,,https://app.ambmobilitat.cat/stops/busamb:201538,0,,,0.0
AMB_201544,201544,Ctra. Santiga - Parc,Pal,41.5087434,2.1476168,,https://app.ambmobilitat.cat/stops/busamb:201544,0,,,0.0
AMB_201566,201566,Urgell - Ronda de Catalunya,Pal,41.5110483,2.122227,,https://app.ambmobilitat.cat/stops/busamb:201566,0,,,0.0
AMB_201567,201567,Urgell - Artesa de Segre,Pal,41.508528,2.1209838,,https://app.ambmobilitat.cat/stops/busamb:201567,0,,,0.0
AMB_201568,201568,Av. Costa Brava,Pal,41.507124,2.1188045,,https://app.ambmobilitat.cat/stops/busamb:201568,0,,,0.0
AMB_201569,201569,CAP Badia del Vallès,Marquesina,41.5078998,2.1115109,,https://app.ambmobilitat.cat/stops/busamb:201569,0,,,0.0
AMB_201570,201570,Ajuntament,Marquesina,41.5090749,2.1142964,,https://app.ambmobilitat.cat/stops/busamb:201570,0,,,0.0
AMB_201571,201571,Cantàbric,Pal,41.5116548,2.1143058,,https://app.ambmobilitat.cat/stops/busamb:201571,0,,,0.0
AMB_201572,201572,Av. Costa Brava,Marquesina,41.5070879,2.1194087,,https://app.ambmobilitat.cat/stops/busamb:201572,0,,,0.0
AMB_201573,201573,Tibidabo,Pal,41.51193,2.1142092,,https://app.ambmobilitat.cat/stops/busamb:201573,0,,,0.0
AMB_201574,201574,Ebre,Pal,41.5131311,2.1176934,,https://app.ambmobilitat.cat/stops/busamb:201574,0,,,0.0
AMB_201575,201575,Pirineus - Cadí,Pal,41.5119938,2.1152969,,https://app.ambmobilitat.cat/stops/busamb:201575,0,,,0.0
AMB_201576,201576,Pirineus - Glorieta d'Alió,Pal,41.5083558,2.1198754,,https://app.ambmobilitat.cat/stops/busamb:201576,0,,,0.0
AMB_201577,201577,Escola Miquel Martí i Pol,Pal,41.5234291,2.1276625,,https://app.ambmobilitat.cat/stops/busamb:201577,0,,,0.0
AMB_201578,201578,Ronda Santa Maria - Arquímedes,Pal,41.5124196,2.1349239,,https://app.ambmobilitat.cat/stops/busamb:201578,0,,,0.0
AMB_201579,201579,Centre Comercial,Marquesina,41.5078572,2.1365118,,https://app.ambmobilitat.cat/stops/busamb:201579,0,,,0.0
AMB_201580,201580,Av. Castell de Barberà - Depuradora,Pal,41.5149508,2.141042,,https://app.ambmobilitat.cat/stops/busamb:201580,0,,,0.0
AMB_201581,201581,Av. Castell de Barberà - Casal de Santa Coloma,Pal,41.5190135,2.1450017,,https://app.ambmobilitat.cat/stops/busamb:201581,0,,,0.0
AMB_201582,201582,Torrent Tortuguer,Pal,41.5127274,2.1489284,,https://app.ambmobilitat.cat/stops/busamb:201582,0,,,0.0
AMB_201583,201583,Av. Torre Mateu - Bellvei,Pal,41.5105351,2.1508656,,https://app.ambmobilitat.cat/stops/busamb:201583,0,,,0.0
AMB_201584,201584,Nodus,Pal,41.5152012,2.1521598,,https://app.ambmobilitat.cat/stops/busamb:201584,0,,,0.0
AMB_201585,201585,Av. Salvatella - Av. Torre Mateu,Pal,41.5119616,2.1551692,,https://app.ambmobilitat.cat/stops/busamb:201585,0,,,0.0
AMB_201586,201586,Cabanyes - Av. Salvatella,Pal,41.5103766,2.1583094,,https://app.ambmobilitat.cat/stops/busamb:201586,0,,,0.0
AMB_201587,201587,Av. Salvatella,Pal,41.5123593,2.1554676,,https://app.ambmobilitat.cat/stops/busamb:201587,0,,,0.0
AMB_201588,201588,Av. Salvatella - Mogoda,Pal,41.5158695,2.1554033,,https://app.ambmobilitat.cat/stops/busamb:201588,0,,,0.0
AMB_201589,201589,Av. Salvatella - Gorgs Lladó,Pal,41.5179602,2.1543659,,https://app.ambmobilitat.cat/stops/busamb:201589,0,,,0.0
AMB_201590,201590,Av. Arraona - Rotonda,Pal,41.5243608,2.148115,,https://app.ambmobilitat.cat/stops/busamb:201590,0,,,0.0
AMB_201591,201591,Obradors - Corders,Pal,41.5273563,2.1481794,,https://app.ambmobilitat.cat/stops/busamb:201591,0,,,0.0
AMB_201592,201592,Llobateres - Cementiri,Pal,41.5271465,2.1399095,,https://app.ambmobilitat.cat/stops/busamb:201592,0,,,0.0
AMB_201593,201593,Llobateres - Rotonda,Pal,41.5246163,2.1463159,,https://app.ambmobilitat.cat/stops/busamb:201593,0,,,0.0
AMB_201594,201594,Av. Castell de Barberà - Rotonda,Pal,41.5234192,2.145744,,https://app.ambmobilitat.cat/stops/busamb:201594,0,,,0.0
AMB_201595,201595,Av. Castell de Barberà - Casal de Santa Coloma,Pal,41.5191375,2.1447824,,https://app.ambmobilitat.cat/stops/busamb:201595,0,,,0.0
