route_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,service_id
BGE_753,BGE_07530021230,,,0,,BGE_0753002,0,0,BGE_07530021230
BGE_753,BGE_07530030950,,,0,,BGE_0753003,0,0,BGE_07530030950
BGE_753,BGE_07530031500,,,0,,BGE_0753003,0,0,BGE_07530031500
BGE_753,BGE_07530031600,,,0,,BGE_0753003,0,0,BGE_07530031600
BGE_753,BGE_07530031800,,,0,,BGE_0753003,0,0,BGE_07530031800
BGE_753,BGE_07530031900,,,0,,BGE_0753003,0,0,BGE_07530031900
BGE_753,BGE_07530032000,,,0,,BGE_0753003,0,0,BGE_07530032000
BGE_753,BGE_07530040630,,,0,,BGE_0753004,0,0,BGE_07530040630
BGE_753,BGE_07531011230,,,1,,BGE_0753101,0,0,BGE_07531011230
BGE_753,BGE_07531011300,,,1,,BGE_0753101,0,0,BGE_07531011300
BGE_753,BGE_07531011330,,,1,,BGE_0753101,0,0,BGE_07531011330
BGE_753,BGE_07531011400,,,1,,BGE_0753101,0,0,BGE_07531011400
BGE_753,BGE_07531011430,,,1,,BGE_0753101,0,0,BGE_07531011430
BGE_753,BGE_07531011500,,,1,,BGE_0753101,0,0,BGE_07531011500
BGE_753,BGE_07531011900,,,1,,BGE_0753101,0,0,BGE_07531011900
BGE_753,BGE_07531012000,,,1,,BGE_0753101,0,0,BGE_07531012000
BGE_753,BGE_07531020730,,,1,,BGE_0753102,0,0,BGE_07531020730
BGE_753,BGE_07531020845,,,1,,BGE_0753102,0,0,BGE_07531020845
BGE_753,BGE_07531020900,,,1,,BGE_0753102,0,0,BGE_07531020900
BGE_753,BGE_07531021050,,,1,,BGE_0753102,0,0,BGE_07531021050
BGE_753,BGE_07531021600,,,1,,BGE_0753102,0,0,BGE_07531021600
BGE_753,BGE_07531021700,,,1,,BGE_0753102,0,0,BGE_07531021700
BGE_753,BGE_07531022100,,,1,,BGE_0753102,0,0,BGE_07531022100
BGE_753,BGE_07531030830,,,1,,BGE_0753103,0,0,BGE_07531030830
BGE_753,BGE_07531030915,,,1,,BGE_0753103,0,0,BGE_07531030915
BGE_753,BGE_07531030930,,,1,,BGE_0753103,0,0,BGE_07531030930
CIN_422,CIN_04220011030,,,0,,CIN_0422001,0,0,CIN_04220011030
CIN_422,CIN_04221010915,,,1,,CIN_0422101,0,0,CIN_04221010915
CIN_550,CIN_05500071910,,,1,,CIN_0550007,0,0,CIN_05500071910
CIN_550,CIN_05500080700,,,1,,CIN_0550008,0,0,CIN_05500080700
CIN_550,CIN_05500081510,,,1,,CIN_0550008,0,0,CIN_05500081510
CIN_550,CIN_05501071830,,,0,,CIN_0550107,0,0,CIN_05501071830
CIN_550,CIN_05501080620,,,0,,CIN_0550108,0,0,CIN_05501080620
CIN_550,CIN_05501081430,,,0,,CIN_0550108,0,0,CIN_05501081430
CIN_555,CIN_05550010550,,,0,,CIN_0555001,0,0,CIN_05550010550
CIN_555,CIN_05550010620,,,0,,CIN_0555001,0,0,CIN_05550010620
CIN_555,CIN_05550010625,,,0,,CIN_0555001,0,0,CIN_05550010625
CIN_555,CIN_05550010700,,,0,,CIN_0555001,0,0,CIN_05550010700
CIN_555,CIN_05550010730,,,0,,CIN_0555001,0,0,CIN_05550010730
CIN_555,CIN_05550010735,,,0,,CIN_0555001,0,0,CIN_05550010735
