service_id,date,exception_type
FGC_625cdae302743e,20251215,1
FGC_625cdae302743e,20251014,1
FGC_625cdae302743e,20251113,1
FGC_625cdae302743e,20251112,1
FGC_625cdae302743e,20251111,1
FGC_625cdae302743e,20251211,1
FGC_625cdae302743e,20251110,1
FGC_625cdae302743e,20251210,1
FGC_625cdae302743e,20251209,1
FGC_625cdae302743e,20251106,1
FGC_625cdae302743e,20251105,1
FGC_625cdae302743e,20251104,1
FGC_625cdae302743e,20251204,1
FGC_625cdae302743e,20251103,1
FGC_625cdae302743e,20251203,1
FGC_625cdae302743e,20251202,1
FGC_625cdae302743e,20251201,1
FGC_625cdae31f716a12b954,20251021,1
FGC_625cdae31f716a12ba5094,20251015,1
FGC_625cdae31f716a12ba53,20251030,1
FGC_625cdae31f716a12ba53,20251016,1
FGC_625cdae602743f,20251130,1
FGC_625cdae602743f,20251214,1
FGC_625cdae602743f,20251228,1
FGC_625cdae602743f,20251026,1
FGC_625cdae602743f,20251109,1
FGC_625cdae602743f,20251208,1
FGC_625cdae602743f,20251123,1
FGC_625cdae602743f,20251221,1
FGC_625cdae602743f,20251019,1
FGC_625cdae602743f,20251102,1
FGC_625cdae602743f,20251116,1
FGC_625cdae702743d,20251115,1
FGC_625cdae702743d,20251129,1
FGC_625cdae702743d,20251213,1
FGC_625cdae702743d,20251227,1
FGC_625cdae702743d,20251226,1
FGC_625cdae702743d,20251225,1
FGC_625cdae702743d,20251108,1
FGC_625cdae702743d,20251207,1
FGC_625cdae702743d,20251122,1
FGC_625cdae702743d,20251206,1
FGC_625cdae702743d,20251220,1
FGC_625cdae702743d,20251101,1
FGC_625cdae71f716a12b950,20251025,1
FGC_625cdae71f716a12ba5d,20251018,1
FGC_6350da916576,20251225,1
FGC_6350da917476,20251026,1
FGC_6350da917476,20251025,1
FGC_6350da917476,20251019,1
FGC_6350da917476,20251018,1
FGC_6350da926176,20251231,1
FGC_6350da926176,20251130,1
FGC_6350da926176,20251230,1
FGC_6350da926176,20251129,1
